index,Actual value,Predicted value,humidities,temperature,color,H2S
85,71.0,121.23437976113291,6.486521739130435,23.45,blue,0.0
86,210.0,275.83502237412654,6.374545454545455,23.45,blue,0.0
87,345.0,388.3542410791192,6.304090909090909,23.45,blue,0.0
88,480.0,501.7571776842326,6.274090909090909,23.47909090909091,blue,0.0
89,615.0,620.7646812451228,6.227727272727273,23.48,blue,0.0
90,750.0,852.4792611428084,6.205238095238095,23.49619047619048,blue,0.0
91,1670.0,1739.535234066147,6.178181818181818,23.5,blue,0.0
92,2590.0,2583.343923723149,6.154545454545455,23.50090909090909,blue,0.0
93,3510.0,3225.5888830137933,6.129523809523808,23.5,blue,0.0
94,2.1,7.857212508448569,34.64476190476191,23.51904761904762,blue,0.0
95,6.0,7.4565403565607795,35.10454545454544,23.5,blue,0.0
96,29.0,38.489779743290214,35.33,23.49636363636364,blue,0.0
97,52.0,58.04073891243782,35.76045454545454,23.5,blue,0.0
98,71.0,53.90886137075404,36.14590909090908,23.5,blue,0.0
99,210.0,228.58746754587492,36.77272727272728,23.47318181818182,blue,0.0
100,345.0,343.2553539503356,36.92727272727272,23.45,blue,0.0
101,480.0,476.10480782956733,35.50090909090908,23.48,blue,0.0
102,615.0,589.1349667949844,35.31285714285715,23.47761904761905,blue,0.0
103,750.0,664.6333957700044,35.02090909090909,23.47500000000001,blue,0.0
104,1670.0,1578.7130452983088,34.785,23.4709090909091,blue,0.0
105,2590.0,2445.784157332854,34.90590909090909,23.46363636363636,blue,0.0
106,3510.0,3255.6204694413786,34.90136363636364,23.47000000000001,blue,0.0
107,2.1,-1.0001837684352282,76.87608695652173,23.54304347826087,blue,0.0
108,6.0,1.9042706372591098,79.29391304347826,23.51086956521739,blue,0.0
109,29.0,39.70002161040645,80.42913043478262,23.50217391304347,blue,0.0
110,52.0,62.74074122131324,81.03695652173911,23.51739130434782,blue,0.0
111,71.0,-0.09953559569066783,81.59391304347825,23.51,blue,0.0
112,210.0,227.35866920677222,81.9504347826087,23.52304347826087,blue,0.0
113,345.0,391.2062220422117,82.33181818181816,23.51,blue,0.0
114,480.0,550.6626728528499,82.4081818181818,23.54000000000001,blue,0.0
115,615.0,714.4395452630263,82.63913043478263,23.54,blue,0.0
116,750.0,761.4305652652374,82.86652173913045,23.54,blue,0.0
117,1670.0,1885.2987301928283,83.06173913043476,23.54,blue,0.0
118,2590.0,2951.522473118304,83.22500000000001,23.54000000000001,blue,0.0
119,3510.0,3940.2740542816127,83.37818181818183,23.54045454545455,blue,0.0
120,2.1,-6.188402482106582,83.58608695652174,23.49565217391305,blue,0.0
121,6.0,3.8267254934583477,74.1518181818182,23.445,blue,0.0
122,29.0,39.08429286715695,57.32869565217391,23.41130434782608,blue,0.0
123,52.0,51.45487703090288,36.74,23.3804347826087,blue,0.0
124,71.0,52.2293476838413,25.86590909090909,23.49,blue,0.0
125,210.0,218.31696030664148,20.56782608695653,23.52347826086956,blue,0.0
126,345.0,336.8467803535607,18.11130434782608,23.54,blue,0.0
127,480.0,464.8123511885881,17.08454545454546,23.58727272727272,blue,0.0
128,615.0,584.4937097265633,15.13347826086956,23.59913043478262,blue,0.0
129,750.0,764.691558768086,14.44636363636364,23.59500000000001,blue,0.0
130,1670.0,1636.0941472026007,13.95260869565217,23.60695652173914,blue,0.0
131,2590.0,2523.399317479722,13.30304347826087,23.61347826086957,blue,0.0
132,3510.0,3385.40203154341,11.63782608695652,23.62,blue,0.0
133,2.1,2.228971634692563,38.90045454545455,23.62681818181818,blue,0.0
134,6.0,4.847272413421777,38.93565217391303,23.63434782608695,blue,0.0
135,29.0,35.54891680996184,38.99826086956522,23.62,blue,0.0
136,52.0,50.88842720175407,39.39391304347827,23.54260869565218,blue,0.0
137,71.0,10.998779394444,39.58304347826086,23.51782608695651,blue,0.0
138,210.0,176.27431349567928,40.02652173913044,23.51,blue,0.0
139,345.0,301.3024735219933,40.36695652173913,23.49565217391305,blue,0.0
140,480.0,451.9752299109348,39.29217391304346,23.5291304347826,blue,0.0
141,615.0,569.9849949434429,39.04363636363637,23.53681818181818,blue,0.0
142,750.0,618.2560498680657,38.96478260869564,23.53173913043478,blue,0.0
143,1670.0,1470.7356874046823,39.24521739130435,23.52999999999999,blue,0.0
144,2590.0,2366.207731019451,39.15695652173912,23.53956521739131,blue,0.0
145,3510.0,3252.2519962256442,38.87173913043478,23.54,blue,0.0
146,2.1,-3.4328982876178245,77.4213043478261,23.6204347826087,blue,0.0
147,6.0,4.765396191318295,79.4986956521739,23.61,blue,0.0
148,29.0,38.69335098635059,80.5086956521739,23.59739130434783,blue,0.0
149,52.0,55.97116037164176,81.1482608695652,23.5795652173913,blue,0.0
150,71.0,4.769239913352067,81.56181818181817,23.59,blue,0.0
151,210.0,220.4418017363389,81.92521739130436,23.58304347826087,blue,0.0
152,345.0,381.7495290239997,82.17478260869565,23.5995652173913,blue,0.0
153,480.0,537.5809216963494,82.34652173913044,23.60608695652174,blue,0.0
154,615.0,688.0287347767469,82.52130434782609,23.61,blue,0.0
155,750.0,734.8052689833116,82.67727272727274,23.61954545454546,blue,0.0
156,1670.0,1933.0070373964413,82.81347826086956,23.62,blue,0.0
157,2590.0,2932.9360235951863,82.94217391304349,23.62,blue,0.0
158,3510.0,3957.1837515692887,83.03608695652174,23.62391304347826,cornflowerblue,0.0
159,2.1,-8.263838426369361,85.85217391304347,31.99913043478261,cornflowerblue,0.0
160,2.1,-4.428314325890241,58.28409090909091,32.65181818181816,cornflowerblue,0.0
161,6.0,3.5376619118834967,37.12434782608696,32.82043478260871,cornflowerblue,0.0
